,account_id,district_id,frequency,date
0,576,55,POPLATEK MESICNE,930101
1,3818,74,POPLATEK MESICNE,930101
2,704,55,POPLATEK MESICNE,930101
3,2378,16,POPLATEK MESICNE,930101
4,2632,24,POPLATEK MESICNE,930102
5,1972,77,POPLATEK MESICNE,930102
6,1539,1,POPLATEK PO OBRATU,930103
7,793,47,POPLATEK MESICNE,930103
8,2484,74,POPLATEK MESICNE,930103
9,1695,76,POPLATEK MESICNE,930103
10,1726,48,POPLATEK MESICNE,930103
11,2881,70,POPLATEK MESICNE,930104
12,2357,19,POPLATEK MESICNE,930104
13,2177,62,POPLATEK MESICNE,930104
14,485,6,POPLATEK PO OBRATU,930104
15,652,21,POPLATEK MESICNE,930105
16,9635,70,POPLATEK MESICNE,930105
17,1844,44,POPLATEK MESICNE,930106
18,1926,37,POPLATEK MESICNE,930106
19,2393,10,POPLATEK MESICNE,930107
20,3510,41,POPLATEK MESICNE,930107
21,1276,36,POPLATEK MESICNE,930107
22,1637,1,POPLATEK MESICNE,930108
23,3871,26,POPLATEK MESICNE,930108
24,192,55,POPLATEK MESICNE,930108
25,764,1,POPLATEK MESICNE,930108
26,2087,7,POPLATEK TYDNE,930108
27,2122,68,POPLATEK MESICNE,930108
28,3592,54,POPLATEK MESICNE,930108
29,3487,41,POPLATEK MESICNE,930108
30,435,38,POPLATEK MESICNE,930108
31,1730,1,POPLATEK MESICNE,930109
32,1493,41,POPLATEK MESICNE,930109
33,374,38,POPLATEK MESICNE,930109
34,2925,1,POPLATEK MESICNE,930110
35,866,9,POPLATEK MESICNE,930110
36,1628,60,POPLATEK MESICNE,930110
37,2379,44,POPLATEK MESICNE,930110
38,1979,26,POPLATEK MESICNE,930111
39,346,37,POPLATEK MESICNE,930111
40,1338,74,POPLATEK MESICNE,930111
41,1909,14,POPLATEK MESICNE,930112
42,2099,3,POPLATEK TYDNE,930112
43,3760,44,POPLATEK MESICNE,930113
44,5270,44,POPLATEK MESICNE,930113
45,1699,53,POPLATEK MESICNE,930114
46,3909,1,POPLATEK MESICNE,930114
47,2926,50,POPLATEK MESICNE,930114
48,1731,33,POPLATEK MESICNE,930114
49,11265,15,POPLATEK MESICNE,930114
